Services Sales,,Description,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales",,,,,,,,,,
Sales,,,,,,,,,,,,,,,,,,,,,
Services,,,,,,,,,,,,,,,,,,,,,
ChangeMe,,,,,,,,,,,,,,,,,,,,,
PD - FIX: Party Deposit Correction,,,,25,"$1,560.00",,100.00%,,,,0.37%,,,S.No,Main category,Category,Description,Qty,Amount,% Cat sales,% Total Sales
,,Changeme Sub-Total,,25,"$1,560.00",,100.00%,,,,0.37%,,,1,Changeme,PD - FIX:,Party Deposit Correction,,,,
,,ChangeMe Sub-Total,,25,"$1,560.00",,,,,,0.37%,,,,Ear Piercing,,,,,,
Deposits,,,,,,,,,,,,,,,Ear Piercing,,,,,,
DepositRec: Deposit Reconciliation,,,,18,"$1,539.00",,100.00%,,,,0.35%,,,,Ear Piercing,,,,,,
DepositRec: Deposit Reconciliation,,,,-1,($65.00),,,,,,,,,,,,,,,,
,,Deposit Sub-Total,,17,"$1,474.00",,100.00%,,,,0.35%,,,,,,,,,,
,,Deposits Sub-Total,,17,"$1,474.00",,,,,,0.35%,,,,,,,,,,
Ear Piercing,,,,,,,,,,,,,,,,,,,,,
EarPierceP: Ear Piercing With A Princess,,,,13,$104.85,,0.20%,,,,0.02%,,,,,,,,,,
EP: Ear Piercing,,,,744,"$1,283.24",,2.42%,,,,0.31%,,,,,,,,,,
EPDiamond: Earrings Diamond,,,,3,$114.00,,0.22%,,,,0.03%,,,,,,,,,,
EPGold: Earrings 14K Gold,,,,346,"$19,925.13",,37.65%,,,,4.74%,,,,,,,,,,
EPSS: Earrings Stainless Steel,,,,845,"$30,457.79",,57.55%,,,,7.24%,,,,,,,,,,
Titanium: Titanium Piercing Earrings,,,,13,"$1,040.00",,1.97%,,,,0.25%,,,,,,,,,,
,,Ear Piercing Sub-Total,,"1,964","$52,925.01",,100.00%,,,,12.58%,,,,,,,,,,
,,Ear Piercing Sub-Total,,"1,964","$52,925.01",,,,,,12.58%,,,,,,,,,,
Events And Classes,,,,,,,,,,,,,,,,,,,,,
SubCategory 1,,,,,,,,,,,,,,,,,,,,,
BraidClass: Beginners Braiding Class,,,,17,$255.00,,1.58%,,,,0.06%,,,,,,,,,,
GLAMCAMP: Glam Camp Southlake,,,,373,"$15,788.14",,98.04%,,,,3.75%,,,,,,,,,,
NOONYEAREV: Noon Years Eve,,,,2,$60.00,,0.37%,,,,0.01%,,,,,,,,,,
,,SubCategory 1 Sub-Total,,392,"$16,103.14",,100.00%,,,,3.83%,,,,,,,,,,
,,Events And Classes Sub-Total,,392,"$16,103.14",,,,,,3.83%,,,,,,,,,,
Makeover,,,,,,,,,,,,,,,,,,,,,
Makeover,,,,,,,,,,,,,,,,,,,,,
GGX: Glittery Glam Xpress,,,,13,$197.00,,2.08%,,,,0.03%,,,,,,,,,,
GGX: Glittery Glam Xpress,,,,-2,($50.00),,,,,,,,,,,,,,,,
MakeupApp: Makeup Application,,,,84,$588.00,,8.04%,,,,0.13%,,,,,,,,,,
MakeupApp: Makeup Application,,,,-3,($21.00),,,,,,,,,,,,,,,,
UltiMO: Ultimate Makeover,,,,113,"$3,338.00",,47.33%,,,,0.79%,,,,,,,,,,
,,Makeover Sub-Total,,205,"$4,052.00",,57.46%,,,,0.96%,,,,,,,,,,
Seasonal,,,,,,,,,,,,,,,,,,,,,
FFMOP: Firework Fashionista Makeover Package,,,,20,$515.00,,6.95%,,,,0.12%,,,,,,,,,,
FFMOP: Firework Fashionista Makeover Package,,,,-1,($25.00),,,,,,,,,,,,,,,,
FFSPAP: Firework Fashionista Spa Package,,,,15,$585.00,,8.30%,,,,0.14%,,,,,,,,,,
IcePMakeOV: Ice Princess Makeover,,,,31,$775.00,,10.99%,,,,0.18%,,,,,,,,,,
MagMerMO: Magical Mermaid Makeover,,,,22,$550.00,,7.80%,,,,0.13%,,,,,,,,,,
SMOREMAKE: SMORE'S Makeover,,,,24,$600.00,,8.51%,,,,0.14%,,,,,,,,,,
,,Seasonal Sub-Total,,111,"$3,000.00",,42.54%,,,,0.71%,,,,,,,,,,
,,Makeover Sub-Total,,316,"$7,052.00",,,,,,1.68%,,,,,,,,,,
Party,,,,,,,,,,,,,,,,,,,,,
Glam Camp,,,,,,,,,,,,,,,,,,,,,
GC6/6-6/10: Glam Camp 6/6 - 6/10 - Princess Week,,,,1,$45.00,,0.06%,,,,0.01%,,,,,,,,,,
,,Glam Camp Sub-Total,,1,$45.00,,0.06%,,,,0.01%,,,,,,,,,,
Limo,,,,,,,,,,,,,,,,,,,,,
LimoAM: Limo Additional Mileage,,,,13,$156.00,,0.20%,,,,0.04%,,,,,,,,,,
LimoDA: Limo Drive-Around,,,,59,"$2,581.25",,3.11%,,,,0.57%,,,,,,,,,,
LimoDA: Limo Drive-Around,,,,-3,($177.00),,,,,,,,,,,,,,,,
LimoDO: Limo Drop Off,,,,1,$59.00,,0.08%,,,,0.01%,,,,,,,,,,
LimoPU: Limo Pick Up,,,,8,$498.00,,0.64%,,,,0.12%,,,,,,,,,,
LimoRT: Limo Round Trip,,,,1,$59.00,,0.08%,,,,0.01%,,,,,,,,,,
,,Limo Sub-Total,,79,"$3,176.25",,4.11%,,,,0.76%,,,,,,,,,,
Signature,,,,,,,,,,,,,,,,,,,,,
AddOnSpa: Add On Party Guest Spa Party,,,,57,"$2,540.00",,3.28%,,,,0.60%,,,,,,,,,,
AddPartyGu: Additional Party Guest,,,,269,"$8,062.50",,10.43%,,,,1.92%,,,,,,,,,,
GirlsRock: Girls Rock Party,,,,54,"$17,852.00",,23.08%,,,,4.24%,,,,,,,,,,
PrincessP: Perfect Princess Party,,,,61,"$19,433.00",,25.13%,,,,4.62%,,,,,,,,,,
PrincessV: Princess Visit,,,,6,$280.00,,0.36%,,,,0.07%,,,,,,,,,,
RUNWAY: Fashion Runway Party,,,,38,"$11,497.00",,14.87%,,,,2.73%,,,,,,,,,,
SpaParty: Spa-Tacular Party,,,,46,"$14,446.00",,18.68%,,,,3.43%,,,,,,,,,,
,,Signature Sub-Total,,531,"$74,110.50",,95.83%,,,,17.62%,,,,,,,,,,
,,Party Sub-Total,,611,"$77,331.75",,,,,,18.39%,,,,,,,,,,
Salon,,,,,,,,,,,,,,,,,,,,,
Clipper Cut,,,,,,,,,,,,,,,,,,,,,
Clipper: Clipper Cut,,,,245,"$4,558.65",,5.11%,,,,1.08%,,,,,,,,,,
PBCLipper: PB Clipper Cut,,,,2,$30.00,,0.03%,,,,0.01%,,,,,,,,,,
SuperHeroC: Super Hero Cut,,,,8,$158.00,,0.18%,,,,0.04%,,,,,,,,,,
,,Clipper Cut Sub-Total,,255,"$4,746.65",,5.32%,,,,1.13%,,,,,,,,,,
Haircut,,,,,,,,,,,,,,,,,,,,,
Bang: Bang Trim/Hair Line Trim,,,,40,$400.00,,0.45%,,,,0.10%,,,,,,,,,,
Braid5.12: Braiding Class Thursday 5.12.22 - 6-7 PM,,,,1,$15.00,,0.02%,,,,0.00%,,,,,,,,,,
ColoredT: Colored Tips,,,,4,$200.00,,0.22%,,,,0.05%,,,,,,,,,,
ColoredTDH: Colored Tips Dark Hair,,,,8,$560.00,,0.63%,,,,0.13%,,,,,,,,,,
DeepCondT: Deep Conditioning Treatment,,,,1,$20.00,,0.02%,,,,0.00%,,,,,,,,,,
Detangling: Detangling,,,,1,$10.00,,0.01%,,,,0.00%,,,,,,,,,,
Diamond: Diamond Cut & Style,,,,49,"$2,450.00",,2.74%,,,,0.58%,,,,,,,,,,
FairyTin: Fairy Tinsel,,,,71,$808.00,,0.91%,,,,0.19%,,,,,,,,,,
First: My First Haircut,,,,135,"$2,527.25",,2.81%,,,,0.60%,,,,,,,,,,
First: My First Haircut,,,,-1,($19.00),,,,,,,,,,,,,,,,
HotToolF: Hot Tool Finish,,,,21,$325.00,,0.36%,,,,0.08%,,,,,,,,,,
PBSASSY: PB Sassy Cut,,,,1,$26.06,,0.03%,,,,0.01%,,,,,,,,,,
PBSWEET: PB Sweet Cut,,,,1,$21.56,,0.02%,,,,0.01%,,,,,,,,,,
PeakabooDH: Peakaboo Color Dark Hair,,,,1,$75.00,,0.08%,,,,0.02%,,,,,,,,,,
SASSY: Sassy Cut,,,,"1,448","$46,383.69",,51.68%,,,,10.97%,,,,,,,,,,
SASSY: Sassy Cut,,,,-8,($251.00),,,,,,,,,,,,,,,,
Shampoo: Shampoo,,,,42,$421.00,,0.47%,,,,0.10%,,,,,,,,,,
SWEET: Sweet Cut,,,,655,"$18,054.00",,20.13%,,,,4.27%,,,,,,,,,,
SWEET: Sweet Cut,,,,-3,($84.00),,,,,,,,,,,,,,,,
Toddler: Toddler Cut,,,,352,"$6,557.65",,7.35%,,,,1.56%,,,,,,,,,,
TodShampoo: Toddler Shampoo,,,,1,$10.00,,0.01%,,,,0.00%,,,,,,,,,,
WigsForKid: Wigs For Kids Hair Donation,,,,15,$570.00,,0.64%,,,,0.14%,,,,,,,,,,
,,Haircut Sub-Total,,"2,835","$79,080.21",,88.59%,,,,18.80%,,,,,,,,,,
Up Do,,,,,,,,,,,,,,,,,,,,,
Braidingc: Braiding Class Event,,,,104,"$1,549.50",,1.74%,,,,0.37%,,,,,,,,,,
FeatherIn: Feather Installation,,,,2,$24.00,,0.03%,,,,0.01%,,,,,,,,,,
PartyUpDo: Party Up Do,,,,144,"$2,400.00",,2.63%,,,,0.56%,,,,,,,,,,
PartyUpDo: Party Up Do,,,,-2,($49.00),,,,,,,,,,,,,,,,
UpDoSpec: Specialty Up Do,,,,51,"$1,515.00",,1.70%,,,,0.36%,,,,,,,,,,
,,Up Do Sub-Total,,299,"$5,439.50",,6.09%,,,,1.29%,,,,,,,,,,
,,Salon Sub-Total,,"3,389","$89,266.36",,,,,,21.23%,,,,,,,,,,
Spa,,,,,,,,,,,,,,,,,,,,,
Spa,,,,,,,,,,,,,,,,,,,,,
Facial: Mini Facial,,,,23,$230.00,,0.34%,,,,0.05%,,,,,,,,,,
Justapol: Just A Polish,,,,108,$814.00,,1.21%,,,,0.19%,,,,,,,,,,
Mani: Sweet Treat Manicure,,,,232,"$3,299.00",,4.92%,,,,0.78%,,,,,,,,,,
ManiPediPK: Sweet Treat Mani-Pedi Package,,,,413,"$16,894.00",,25.20%,,,,4.02%,,,,,,,,,,
Pedi: Sweet Treat Pedicure,,,,58,"$1,630.30",,2.43%,,,,0.39%,,,,,,,,,,
,,Spa Sub-Total,,834,"$22,867.30",,34.11%,,,,5.44%,,,,,,,,,,
Spa Packages,,,,,,,,,,,,,,,,,,,,,
DIVADAY: Diva For A Day Package,,,,206,"$17,133.75",,25.56%,,,,4.07%,,,,,,,,,,
HEADTOE: Head To Toe Princess Package,,,,190,"$10,423.00",,15.46%,,,,2.47%,,,,,,,,,,
HEADTOE: Head To Toe Princess Package,,,,-1,($55.00),,,,,,,,,,,,,,,,
IcePSPA: Ice Princess Spa Package,,,,14,$532.00,,0.79%,,,,0.13%,,,,,,,,,,
MagMerSpa: Magical Mermaid Spa,,,,23,$700.00,,1.04%,,,,0.17%,,,,,,,,,,
SMORESPA: SMORE'S Marshmallow SPA Package,,,,15,$585.00,,0.87%,,,,0.14%,,,,,,,,,,
Ultimate: Ultimate Spa Package,,,,201,"$14,858.75",,22.16%,,,,3.53%,,,,,,,,,,
,,Spa Packages Sub-Total,,648,"$44,177.50",,65.89%,,,,10.50%,,,,,,,,,,
,,Spa Sub-Total,,"1,482","$67,044.80",,,,,,15.94%,,,,,,,,,,
,,Service Sales for Date Range,,"8,196","$312,757.06",,,,,,74.37%,,,,,,,,,,
